,AvgPriceperBottle,MarginPerBottle,PricePerLiter,R^2Score,TotalBottlesSold,TotalSales,Zip Code
210,14.1188590604,4.71567114094,11.2301627551,0.970983136791,4465,64439.46,51041
211,15.441875,5.166015625,11.198404119,0.50135055472,853,10048.44,51046
212,13.7705343511,4.61374045802,12.4575228265,0.800832213096,958,12552.2,51050
213,15.3126666667,5.106,11.6404407713,0.902626902486,77,1056.37,51053
214,14.0009308511,4.6779787234,13.3804458319,0.802077762314,2259,27773.39,51054
215,10.8753982301,3.63637168142,13.5608735122,0.929717526962,977,10755.4,51055
216,14.5797142857,4.868,12.6840366972,0.392216910276,358,4147.68,51058
217,16.3405499276,5.45331403763,17.1987421856,0.460858724336,5806,73235.34,51101
218,15.0372642245,5.01866718628,17.6287970459,0.713304912369,18670,242712.22,51103
219,15.5229265176,5.17994888179,14.6185009936,0.881857244883,11211,148602.91,51104
220,13.4602648402,4.49453881279,13.6761025551,0.3945579141,11809,127491.5,51105
221,15.1644609508,5.06521222411,14.4581608781,0.83894629745,34487,498307.31,51106
222,14.3249217639,4.78559032717,12.7322905893,0.896658399185,7394,94418.72,51108
223,13.2994358974,4.44194871795,12.7466763238,0.681600549687,1380,15839.02,51109
224,14.2990368852,4.7775307377,12.8854125627,0.910580206402,8139,113488.4,51201
225,14.6154166667,4.88808333333,14.1353861713,0.841579927187,375,5311.23,51237
226,10.7007407407,3.57777777778,11.7722371968,0.973876874363,213,2445.8,51238
227,14.8823954373,4.97996197719,13.8302322227,0.861299524179,1247,18218.15,51240
228,16.3638157895,5.46322368421,14.5915911524,0.707142660132,1898,27937.79,51241
229,17.594537037,5.87777777778,14.9117234247,0.736139764177,640,10093.0,51245
230,15.1245020747,5.05323651452,13.3323171753,0.470564124143,3434,43778.13,51246
231,12.8176595745,4.28542553191,11.9992983558,0.828230741674,985,11458.13,51247
232,12.4986931818,4.17278409091,12.0937402724,0.934304507599,657,8158.8,51248
233,15.5773219373,5.20806267806,13.4629333547,0.717078980088,2132,30313.41,51249
234,15.7326714286,5.25241428571,14.8941998338,0.93614024162,5929,98607.05,51250
235,14.4563141361,4.82908376963,12.140974708,0.819016460318,13733,176608.81,51301
236,15.5731664411,5.19952638701,14.7499612377,0.749076422847,3596,50419.35,51331
237,14.9689896373,5.00120466321,12.3022263726,0.922850506846,4957,65606.42,51334
238,15.0714285714,5.04285714286,11.0044635193,0.823027950263,50,641.01,51338
239,13.6943298969,4.56979381443,11.2494672489,0.783354087942,530,6440.32,51342
